,BRCA-rich,Digestive-rich,Lung-rich,Mixed,Reproductive-rich,Urinary I-rich,Urinary II-rich
STAD&CRCA,0.7986224802627989,0.00195360754036009,0.5153701191951893,0.8274907766659119,0.9759578417971476,0.47770321547853245,0.8051971386778563
LIHC,1.0,2.1255601275828185e-07,1.0,0.9728878377599595,0.9571358496360215,0.9849256106665346,0.48970540589463263
PAAD,1.0,0.0006290114904974635,0.6846888707765898,1.0,1.0,0.862786415202638,0.7332590601041116
CHOL,1.0,0.0005844449544279857,0.3094585950781177,0.7993210883495243,1.0,0.8616839784755642,0.9081994794449635
ESCA,0.63785264992577,0.727275004676732,1.133050596681375e-05,0.9718982423587474,0.9450975233483618,0.3337019738794054,0.9964475154022644
LC,0.841747748065716,0.989118056594701,4.09096274245576e-05,0.6254695062039675,0.2163001768500289,0.4144172326028766,0.9672851111093508
RCC,0.6556180223740534,0.9967269876875575,0.9763772487403731,0.06856173045136763,0.9890037539810006,0.002436645996258114,0.07962845081901755
BLCA,0.876301820778104,0.9913242629768303,0.9823070665592676,0.9999526427869387,0.0002470713446661256,0.9593327283889396,3.75960835423903e-09
TGCT,0.8672926709330814,0.999461836222134,0.9955080371637886,0.9996663060242513,1.2048911250697948e-08,0.747417836159316,0.04696435537026537
CECA,0.8863259379233893,0.5555755468505457,0.9017072400512506,0.0016132423031058989,0.5360805055509111,1.0,0.7282960544504836
OVCA,0.4507994500946495,0.07149010038547053,0.9385355025514741,0.9839089539389668,0.665240804151648,0.12145652167844953,0.9589822344069464
BRCA,2.5003497432438366e-13,0.9999651357973324,0.965437733698288,0.019358710581338916,0.3554919183101979,0.9999994797731737,0.8708633938920703
ML,0.9748874520604258,0.03409122298612836,0.8071450681793815,0.008647057838588969,0.9999890647014341,0.0890544729945598,0.8651960654651286
HNCA,0.6610424546404785,0.8829579683714993,0.6846888707765898,0.8188478662145122,0.14878482585619146,0.2605174079188999,1.0
THCA,0.6610424546404785,1.0,0.2971189411061479,0.00016164832723432383,1.0,1.0,1.0
SARC,0.8420578443599989,0.029818490151473028,0.8603910712369551,0.7718506045887172,1.0,0.17415811715462193,0.8950570972287509
others,0.8436798665548028,0.16961248769671708,0.8771319433615372,0.671290306653383,0.2336169624420214,0.11091751906714148,0.9951954474176508
